Index,model,trial,R2_train,NNSE_train,MAPE_train,R2_test,NNSE_test,MAPE_test
59,EFO,trial8,0.6012,0.7149,1.4005,0.4522,0.6461,1.2044
60,TLO,trial8,0.7487,0.7992,1.2011,0.5287,0.6797,1.1275
61,SMA,trial8,0.7711,0.8138,1.1864,0.6331,0.7316,1.2169
62,AAEO,trial8,0.6964,0.7671,1.3511,0.5644,0.6966,1.0826
63,RUN,trial8,0.7703,0.8132,1.1235,0.6279,0.7288,0.9676
64,GA,trial9,0.7621,0.8078,1.1708,0.6377,0.734,0.8897
65,HGS,trial9,0.7621,0.8078,1.1708,0.6377,0.734,0.8897
66,ARO,trial9,0.7409,0.7942,1.2247,0.6113,0.7201,0.9551
67,EFO,trial9,0.661,0.7468,1.2896,0.4569,0.648,1.1996
68,TLO,trial9,0.7584,0.8054,1.136,0.6136,0.7213,0.9619
69,SMA,trial9,0.7711,0.8138,1.1864,0.6331,0.7316,1.2169
70,AAEO,trial9,0.7861,0.8238,1.1098,0.6677,0.7506,0.9292
71,RUN,trial9,0.7545,0.8029,1.0023,0.6992,0.7687,0.9904
72,GA,trial10,0.7565,0.8042,1.0428,0.635,0.7326,0.9808
73,HGS,trial10,0.7861,0.8238,1.1098,0.6677,0.7506,0.9292
74,ARO,trial10,0.7653,0.8099,1.1657,0.6457,0.7384,1.1487
75,EFO,trial10,0.6015,0.7151,1.4839,0.3936,0.6225,1.0585
76,TLO,trial10,0.7144,0.7779,1.3766,0.6323,0.7312,1.1515
77,SMA,trial10,0.7532,0.8021,1.1945,0.5919,0.7102,1.0791
78,AAEO,trial10,0.736,0.7911,1.2397,0.5743,0.7014,1.097
79,RUN,trial10,0.7277,0.786,1.3022,0.5026,0.6678,1.1189
